"init_tprime";"init_t";"init_p";"seed";"nm";"nf";"dm";"df";"base_surv";"base_mort";"a";"cp";"cs";"k";"fl";"fh";"control_p";"control_t";"control_tprime";"mu_t";"mu_p";"mu_tprime";"sdmu_t";"sdmu_p";"sdmu_tprime";"generation";"t";"p";"tprime";"var_t";"var_p";"var_tprime";"file"
0.01;0.01;0.2;2509335472;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0043971;0.025254;0.00376518;0.000595619;0.000344355;0.00158845;"./output_119.csv"
0.01;0.01;0.2;879064932;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;1.33225e-06;0.0188775;-0.00974798;0.000540303;0.000501863;0.00101725;"./output_12.csv"
0.01;0.01;0.2;539103521;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0123969;0.0211195;8.29285e-06;0.000543922;0.000757934;0.000729677;"./output_120.csv"
0.01;0.01;0.2;173772581;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00295184;-0.00641436;0.00502362;0.000603509;0.00105725;0.000786424;"./output_121.csv"
0.01;0.01;0.2;450405315;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00579595;0.0219104;0.0123393;0.000569024;0.000561086;0.00071475;"./output_122.csv"
0.01;0.01;0.2;2617242097;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00202178;0.0199152;0.0113275;0.000691108;0.00102648;0.000629963;"./output_123.csv"
0.01;0.01;0.2;858689446;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00517696;0.005291;-0.00610543;0.000621459;0.00107102;0.00105744;"./output_124.csv"
0.01;0.01;0.2;2731837908;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0021704;0.0200428;0.000452559;0.000583659;0.000668493;0.000885958;"./output_125.csv"
0.01;0.01;0.2;936556616;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;3;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000119046;0.0342733;0.00417432;0.000569024;0.000139053;0.000840621;"./output_126.csv"
0.01;0.01;0.2;2085471230;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00105531;0.0304525;-0.00706095;0.000692482;4.18994e-05;0.00109938;"./output_127.csv"
0.01;0.01;0.2;1301688597;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0135465;0.0339985;0.00878984;0.000406509;0.000539513;0.00103913;"./output_128.csv"
0.01;0.01;0.2;3698578796;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00516193;0.0121517;-0.00252557;0.000507196;0.000894934;0.0011432;"./output_129.csv"
0.01;0.01;0.2;1729222070;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00446434;0.0333036;0.00451704;0.000510992;0.000219473;0.00116146;"./output_13.csv"
0.01;0.01;0.2;3221241369;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00780232;0.00954577;-0.000622797;0.000493297;0.00087298;0.000938253;"./output_130.csv"
0.01;0.01;0.2;2677290747;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000995528;0.0221069;-0.00268041;0.000508129;0.000641559;0.000704125;"./output_131.csv"
0.01;0.01;0.2;831234148;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0165092;0.027015;-0.00555148;0.000417264;0.000447049;0.000989858;"./output_132.csv"
0.01;0.01;0.2;2981445938;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0111247;0.0349249;0.000732784;0.000443934;0.000260507;0.0010356;"./output_133.csv"
0.01;0.01;0.2;4209629185;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00632095;0.0206204;-0.00155163;0.000558642;0.00128787;0.000789176;"./output_134.csv"
0.01;0.01;0.2;2029943389;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;4;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000482706;0.0395762;0.00690333;0.00042976;0.000284325;0.000976081;"./output_135.csv"
0.01;0.01;0.2;1256208788;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0109862;0.0354759;0.00537065;0.000645061;1.8011e-05;0.000808454;"./output_14.csv"
0.01;0.01;0.2;4009074075;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00607688;0.0317496;-0.000296977;0.000436829;0.000255669;0.00104541;"./output_15.csv"
0.01;0.01;0.2;996723406;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00131999;0.0144648;0.0021703;0.000429346;0.00110706;0.00104693;"./output_16.csv"
